task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
2540	PULL_IPD_MHC (390)	CACHED	0	1.6s	35.7%	0.5%	20.5 MB	472.5 MB	20.5 MB	472.5 MB	6.6 MB	14.9 KB
2533	PULL_MHC_PROTEINS (369)	CACHED	0	1.9s	34.3%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2545	PULL_MHC_PROTEINS (370)	CACHED	0	1.7s	35.3%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	5.7 KB
2541	PULL_IPD_MHC (391)	CACHED	0	1.6s	32.6%	0.5%	17.5 MB	469.2 MB	17.5 MB	469.3 MB	6.6 MB	14.1 KB
2550	PULL_IPD_MHC (392)	CACHED	0	2s	28.3%	1.2%	45 MB	498.8 MB	45 MB	498.8 MB	6.6 MB	11 KB
2548	PULL_MHC_PROTEINS (371)	CACHED	0	1.6s	31.5%	0.3%	12.8 MB	59.5 MB	12.8 MB	59.5 MB	6.2 MB	6 KB
2526	PULL_IPD_KIR (400)	CACHED	0	1.5s	33.7%	0.5%	19 MB	470.8 MB	19 MB	470.8 MB	6.6 MB	17.3 KB
2553	PULL_IPD_MHC (393)	CACHED	0	1.4s	36.0%	0.3%	10.3 MB	16.1 MB	10.3 MB	16.2 MB	6.6 MB	14 KB
2555	PULL_MHC_PROTEINS (372)	CACHED	0	1.5s	41.0%	0.3%	10.4 MB	16.1 MB	10.4 MB	16.2 MB	6.2 MB	6 KB
2556	PULL_MHC_PROTEINS (373)	CACHED	0	1.8s	30.1%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2448	PULL_MHC_PROTEINS (359)	CACHED	0	2s	34.6%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	5.5 KB
2564	PULL_MHC_PROTEINS (374)	CACHED	0	1.8s	26.9%	0.5%	17.6 MB	469.1 MB	17.6 MB	469.1 MB	6.2 MB	6 KB
2537	PULL_IPD_KIR (401)	CACHED	0	2.1s	30.3%	1.2%	44.9 MB	498.8 MB	44.9 MB	498.8 MB	6.6 MB	17.3 KB
2609	PULL_MHC_PROTEINS (381)	CACHED	0	1.7s	29.2%	1.2%	45.9 MB	498.7 MB	45.9 MB	498.7 MB	6.2 MB	6 KB
